,MturkId,Userid,EmailId,TrainingPeriod,Trial,Condition,Decision,EmailType,Action,Confidence,ReactionTime,Correct
197,AWWR9PY50W0Z9,638049002,741,Training,5,GPT-GPT,false,phishing,3,4,4651,0
198,A1CC1ESUM2JWJ2,740438790,551,postTraining,6,Human-Plain,true,phishing,4,4,9545,1
199,A1YZ0ETOCJO1B2,864832498,1053,preTraining,6,GPT-GPT,false,ham,2,2,20376,1
200,A1CC1ESUM2JWJ2,740438790,483,postTraining,7,Human-Plain,true,phishing,4,4,8412,1
201,AWWR9PY50W0Z9,638049002,1085,Training,6,GPT-GPT,true,ham,3,4,16782,0
202,A1CC1ESUM2JWJ2,740438790,1048,postTraining,8,Human-Plain,false,ham,4,1,7857,1
203,A1CC1ESUM2JWJ2,740438790,583,postTraining,9,Human-Plain,true,phishing,4,4,12466,1
204,AWWR9PY50W0Z9,638049002,612,Training,7,GPT-GPT,true,phishing,3,4,4484,1
205,A1AYQ8E01NSY5Z,140544808,1361,Training,6,GPT-GPT,true,ham,2,5,4157,0
206,A1YZ0ETOCJO1B2,864832498,157,preTraining,7,GPT-GPT,false,phishing,4,4,69575,0
207,A1CC1ESUM2JWJ2,740438790,208,postTraining,10,Human-Plain,true,phishing,4,4,6587,1
208,AWWR9PY50W0Z9,638049002,421,Training,8,GPT-GPT,true,phishing,3,4,5320,1
209,AWWR9PY50W0Z9,638049002,153,Training,9,GPT-GPT,true,phishing,3,4,4619,1
210,AWWR9PY50W0Z9,638049002,1185,Training,10,GPT-GPT,true,ham,3,4,2730,0
211,A13WTEQ06V3B6D,129390671,933,preTraining,1,GPT-GPT,false,ham,3,3,191598,1
212,A1YZ0ETOCJO1B2,864832498,1425,preTraining,8,GPT-GPT,false,ham,4,3,30971,1
213,AWWR9PY50W0Z9,638049002,1013,Training,11,GPT-GPT,true,ham,3,4,2724,0
214,AWWR9PY50W0Z9,638049002,969,Training,12,GPT-GPT,true,ham,3,4,2971,0
215,AWWR9PY50W0Z9,638049002,717,Training,13,GPT-GPT,true,phishing,3,4,3273,1
216,A1AYQ8E01NSY5Z,140544808,1389,Training,7,GPT-GPT,true,ham,4,5,24848,0
217,A13WTEQ06V3B6D,129390671,1005,preTraining,2,GPT-GPT,false,ham,4,0,29881,1
218,A13WTEQ06V3B6D,129390671,689,preTraining,3,GPT-GPT,true,phishing,4,5,25280,1
219,AWWR9PY50W0Z9,638049002,452,Training,14,GPT-GPT,false,phishing,3,4,2331,0
220,A1YZ0ETOCJO1B2,864832498,757,preTraining,9,GPT-GPT,false,ham,4,4,43756,1
221,A13WTEQ06V3B6D,129390671,857,preTraining,4,GPT-GPT,false,ham,3,0,8553,1
222,AWWR9PY50W0Z9,638049002,325,Training,15,GPT-GPT,true,phishing,3,4,3270,1
223,A13WTEQ06V3B6D,129390671,189,preTraining,5,GPT-GPT,true,phishing,4,5,18396,1
224,AWWR9PY50W0Z9,638049002,556,Training,16,GPT-GPT,true,phishing,3,4,2197,1
225,A1AYQ8E01NSY5Z,140544808,985,Training,8,GPT-GPT,false,ham,4,1,7609,1
226,A13WTEQ06V3B6D,129390671,385,preTraining,6,GPT-GPT,true,phishing,4,3,6764,1
227,A1YZ0ETOCJO1B2,864832498,293,preTraining,10,GPT-GPT,true,phishing,2,3,44307,1
228,AWWR9PY50W0Z9,638049002,1137,Training,17,GPT-GPT,false,ham,3,4,3001,1
229,A13WTEQ06V3B6D,129390671,85,preTraining,7,GPT-GPT,true,phishing,4,3,14762,1
230,AWWR9PY50W0Z9,638049002,604,Training,18,GPT-GPT,false,phishing,3,4,4506,0
231,A1AYQ8E01NSY5Z,140544808,813,Training,9,GPT-GPT,true,ham,4,5,4089,0
232,A13WTEQ06V3B6D,129390671,1349,preTraining,8,GPT-GPT,false,ham,3,4,15825,1
233,AWWR9PY50W0Z9,638049002,1021,Training,19,GPT-GPT,true,ham,3,4,4680,0
234,AWWR9PY50W0Z9,638049002,909,Training,20,GPT-GPT,true,ham,3,4,1884,0
235,A13WTEQ06V3B6D,129390671,9,preTraining,9,GPT-GPT,true,phishing,4,3,13129,1
236,A1YZ0ETOCJO1B2,864832498,1097,Training,1,GPT-GPT,false,ham,4,3,4286,1
237,AWWR9PY50W0Z9,638049002,793,Training,21,GPT-GPT,true,ham,3,4,1561,0
238,AWWR9PY50W0Z9,638049002,225,Training,22,GPT-GPT,true,phishing,2,4,2027,1
239,AWWR9PY50W0Z9,638049002,929,Training,23,GPT-GPT,false,ham,3,4,2100,1
240,A1AYQ8E01NSY5Z,140544808,365,Training,10,GPT-GPT,true,phishing,4,5,12099,1
241,A13WTEQ06V3B6D,129390671,1377,preTraining,10,GPT-GPT,false,ham,3,2,10680,1
242,AWWR9PY50W0Z9,638049002,1293,Training,24,GPT-GPT,false,ham,3,4,2156,1
243,A13WTEQ06V3B6D,129390671,905,Training,1,GPT-GPT,false,ham,3,4,2341,1
244,A1YZ0ETOCJO1B2,864832498,592,Training,2,GPT-GPT,true,phishing,1,3,7315,1
245,A13WTEQ06V3B6D,129390671,965,Training,2,GPT-GPT,false,ham,3,4,4966,1
246,AWWR9PY50W0Z9,638049002,173,Training,25,GPT-GPT,true,phishing,4,3,3876,1
247,A1AYQ8E01NSY5Z,140544808,504,Training,11,GPT-GPT,true,phishing,4,5,6479,1
248,AWWR9PY50W0Z9,638049002,353,Training,26,GPT-GPT,true,phishing,3,4,1950,1
249,A13WTEQ06V3B6D,129390671,1405,Training,3,GPT-GPT,false,ham,2,2,1553,1
250,A1YZ0ETOCJO1B2,864832498,1033,Training,3,GPT-GPT,false,ham,3,4,4774,1
251,AWWR9PY50W0Z9,638049002,564,Training,27,GPT-GPT,true,phishing,2,4,2207,1
252,A13WTEQ06V3B6D,129390671,1385,Training,4,GPT-GPT,true,ham,2,4,1816,0
253,A1AYQ8E01NSY5Z,140544808,1457,Training,12,GPT-GPT,false,ham,4,1,10881,1
254,A13WTEQ06V3B6D,129390671,189,Training,5,GPT-GPT,true,phishing,4,2,1460,1
