UserId,Experiment,ExperimentCondition,EmailId,PhaseTrial,Decision,EmailType,PhaseValue,Confidence,EmailAction,ReactionTime,Correct
416361962,1,GPT-4 Written GPT-4 Styled,1381.0,36,false,ham,Training,4,4,17351,1
293449694,1,GPT-4 Written Plain Styled,250.0,32,true,phishing,Training,3,5,6129,1
416361962,1,GPT-4 Written GPT-4 Styled,241.0,35,true,phishing,Training,4,5,11902,1
293449694,1,GPT-4 Written Plain Styled,782.0,31,true,ham,Training,3,5,18366,0
416361962,1,GPT-4 Written GPT-4 Styled,409.0,34,true,phishing,Training,4,5,11688,1
293449694,1,GPT-4 Written Plain Styled,682.0,30,true,phishing,Training,4,5,8677,1
416361962,1,GPT-4 Written GPT-4 Styled,257.0,33,true,phishing,Training,4,5,22463,1
293449694,1,GPT-4 Written Plain Styled,414.0,29,true,phishing,Training,4,5,11387,1
293449694,1,GPT-4 Written Plain Styled,521.0,28,true,phishing,Training,4,5,16397,1
416361962,1,GPT-4 Written GPT-4 Styled,221.0,32,true,phishing,Training,4,5,13565,1
416361962,1,GPT-4 Written GPT-4 Styled,905.0,31,false,ham,Training,4,4,14048,1
293449694,1,GPT-4 Written Plain Styled,278.0,27,false,phishing,Training,3,0,17384,0
416361962,1,GPT-4 Written GPT-4 Styled,733.0,30,true,phishing,Training,4,5,11415,1
293449694,1,GPT-4 Written Plain Styled,481.0,26,true,phishing,Training,3,5,16427,1
416361962,1,GPT-4 Written GPT-4 Styled,837.0,29,true,ham,Training,2,5,26010,0
293449694,1,GPT-4 Written Plain Styled,1070.0,25,true,ham,Training,4,5,10257,0
293449694,1,GPT-4 Written Plain Styled,390.0,24,true,phishing,Training,3,5,11067,1
416361962,1,GPT-4 Written GPT-4 Styled,1169.0,28,false,ham,Training,4,4,18184,1
293449694,1,GPT-4 Written Plain Styled,541.0,23,false,phishing,Training,4,2,10201,0
416361962,1,GPT-4 Written GPT-4 Styled,33.0,27,true,phishing,Training,4,5,18016,1
293449694,1,GPT-4 Written Plain Styled,718.0,22,true,phishing,Training,3,5,33492,1
166515386,1,Human Written GPT-4 Styled,55.0,10,false,phishing,postTraining,2,1,5283,0
416361962,1,GPT-4 Written GPT-4 Styled,777.0,26,false,ham,Training,4,1,31716,1
166515386,1,Human Written GPT-4 Styled,606.0,9,false,phishing,postTraining,2,1,2937,0
166515386,1,Human Written GPT-4 Styled,975.0,8,true,ham,postTraining,2,1,5170,0
166515386,1,Human Written GPT-4 Styled,19.0,7,false,phishing,postTraining,2,-1,21546,0
166515386,1,Human Written GPT-4 Styled,3.0,6,false,phishing,postTraining,2,-1,2431,0
293449694,1,GPT-4 Written Plain Styled,326.0,21,true,phishing,Training,3,5,18439,1
416361962,1,GPT-4 Written GPT-4 Styled,580.0,25,true,phishing,Training,3,5,23464,1
166515386,1,Human Written GPT-4 Styled,1447.0,5,false,ham,postTraining,2,1,2776,1
166515386,1,Human Written GPT-4 Styled,815.0,4,false,ham,postTraining,3,2,2700,1
166515386,1,Human Written GPT-4 Styled,11.0,3,false,phishing,postTraining,2,1,4978,0
166515386,1,Human Written GPT-4 Styled,367.0,2,true,phishing,postTraining,2,1,16642,1
166515386,1,Human Written GPT-4 Styled,151.0,1,true,phishing,postTraining,2,1,1157,1
416361962,1,GPT-4 Written GPT-4 Styled,757.0,24,false,ham,Training,4,4,19446,1
293449694,1,GPT-4 Written Plain Styled,734.0,20,true,phishing,Training,3,5,11924,1
293449694,1,GPT-4 Written Plain Styled,1306.0,19,false,ham,Training,3,2,20982,1
416361962,1,GPT-4 Written GPT-4 Styled,285.0,23,true,phishing,Training,2,5,32248,1
166515386,1,Human Written GPT-4 Styled,119.0,40,false,phishing,Training,2,1,3322,0
166515386,1,Human Written GPT-4 Styled,83.0,39,false,phishing,Training,3,2,2925,0
166515386,1,Human Written GPT-4 Styled,223.0,38,false,phishing,Training,3,1,16812,0
293449694,1,GPT-4 Written Plain Styled,694.0,18,true,phishing,Training,2,5,8840,1
166515386,1,Human Written GPT-4 Styled,1023.0,37,false,ham,Training,2,1,5374,1
416361962,1,GPT-4 Written GPT-4 Styled,117.0,22,true,phishing,Training,3,5,28482,1
166515386,1,Human Written GPT-4 Styled,1319.0,36,false,ham,Training,3,1,2806,1
293449694,1,GPT-4 Written Plain Styled,1166.0,17,true,ham,Training,3,2,10753,0
166515386,1,Human Written GPT-4 Styled,983.0,35,false,ham,Training,3,2,2781,1
166515386,1,Human Written GPT-4 Styled,363.0,34,false,phishing,Training,3,2,3542,0
166515386,1,Human Written GPT-4 Styled,1171.0,33,true,ham,Training,2,0,9395,0
293449694,1,GPT-4 Written Plain Styled,1454.0,16,true,ham,Training,3,5,13537,0
166515386,1,Human Written GPT-4 Styled,1419.0,32,false,ham,Training,2,1,7303,1
